iteration,logLik,improvement,is_negative
0,-3094155.32751098,,FALSE
1,-3077915.15656629,16240.1709446916,FALSE
2,-3076464.43675355,1450.71981274383,FALSE
3,-3075923.89645012,540.540303429589,FALSE
4,-3075624.08954201,299.806908106431,FALSE
5,-3075435.22517478,188.864367233589,FALSE
6,-3075308.68557441,126.539600367192,FALSE
7,-3075220.03166806,88.653906351421,FALSE
8,-3075155.61785026,64.4138177996501,FALSE
9,-3075107.58741284,48.0304374159314,FALSE
10,-3075070.99666065,36.5907521862537,FALSE
11,-3075042.5791703,28.4174903538078,FALSE
12,-3075020.16723241,22.4119378919713,FALSE
13,-3075002.33848406,17.8287483491004,FALSE
14,-3074988.03766963,14.3008144297637,FALSE
15,-3074976.48568489,11.5519847371615,FALSE
16,-3074967.09926754,9.38641735352576,FALSE
17,-3074959.44748439,7.65178315062076,FALSE
18,-3074953.1870984,6.26038598688319,FALSE
19,-3074948.04950258,5.13759581837803,FALSE
20,-3074943.82223898,4.22726360335946,FALSE
21,-3074940.33614906,3.48608991736546,FALSE
22,-3074937.45617525,2.87997381575406,FALSE
